ID,albanian,arab,belarusian,bulgarian,chinese,czech,english,estonian,finnish,french,german,greek,hungarian,italian,japanese,latvian,lithuanian,polish,romanian,russian,swedish,turkish,ukrainian,yugoslav,spanish,portuguese,dutch
405,Tashkenti,Tashqand,,,Tashigan,Taškent,Tashkent,Taškent,Taškent,Tachkent,Taschkent,Taskendi,Taskent,Tashkent,Tashukento,Taškenta,Taškentas,Taszkent,Taşkent,Tashkent,Tasjkent,Taşkent,,Taškent,Taskent,Tasquente,Tasjkent
406,Guryev,Guryev,,,Geliyefu,Guryev,Guryev,Guryev,Guryev,Gouriev,Gürau,Guryev,Guryev,Guryev,Guryev,Guryev,Guryev,Guryev,Guryev,Gur'ev,Guryev,Guryev,,Guryev,Guryev,Guryev,Guryev
407,Ural'sk,Awral,,,Wula'er,Oral,Ural'sk,Oral,Uralsk,Oural,Letzte-Grenze,Oral,Oral,Oral,Oraru,Orala,Oralas,Uralsk,Oral,Ural'sk,Oral,Ora,,Ural'sk,Oral,Oral,Oral
408,Vladivostok,Fladifustuk,,,Haishenwei,Vladivostok,Vladivostok,Vladivostok,Vladivostok,Vladivostok,Wladiwostok,Vladivostok,Vlagyivosztok,Vladivostok,Urajiosutoku,Vladivostoka,Vladivostokas,Władywostok,Vladivostok,Vladivostok,Vladivostok,Vladivostok,,Vladivostok,Vladivostok,Vladivostoque,Vladivostok
409,Khabarovsk,Khabarufisk,,,Boli,Chabarovsk,Khabarovsk,Habarovsk,Habarovsk,Khabarovsk,Chabarowsk,Chabarofsk,Habarovszk,Chabarovsk,Habarofusuku,Habarovska,Chabarovskas,Chabarowsk,Habarovsk,Habarovsk,Chabarovsk,Habarovsk,,Habarovsk,Jabárovsk,Khabarovsk,Chabarovsk
410,Sistan,Sistan,,,Xisitan,Sístán,Sistan,Sistan,Sistan,Sistan,Sistan,Sistan,Szisztán,Sistan,Hade,Sistan,Sistanas,Sistan,Sistan,Sistan,Sistan,Sistan,,Sistan,Sistán,Sistão,Sistan
411,Isfahani,Asfahan,,,Yisifahan,Isfahán,Isfahan,Eşfahān,Isfahan,Ispahan,Isfahan,Isfachan,Iszfahán,Esfahan,Esufahān,Isfahāna,Isfahanas,Isfahan,Isfahan,Isfahan,Esfahan,İsfahan,,Isfahan,Isfahán,Isfahan,Isfahan
412,Fars,Fars,,,Fa'ersisheng,Fars,Fars,Fars,Fars,FARS,Fars,Fars,Fars,Fars,Fārusu,Fars,Farsas,Fars,Fars,Fars,Färs,Fars,,Fars,Fars,Fars,Fars
413,Khuzestan,Muhafazat khuzistan,,,Huqisitansheng,Chúzistán,Khuzestan,Khūzestāni,Khūzestān,Khouzistan,Chuzestan,Eparchia Choyzistan,Huzesztán tartomány,Khūzestān,Fūzesutān shū,Hūzestāna,Chuzestano,Chuzestan,Khuzestan,Huzestan,Khuzestan,Huzistan Eyaleti,,Huzestan,Provincia de Juzestán,Cuzistão,Khuzestan
414,Kerman,Karman,,,Ke'erman,Kermán,Kerman,Kerman,Kerman,Kerman,Kerman,Kerman,Kermán,Kerman,Kerumān,Kerman,Kermanas,Kerman,Kerman,Kerman,Kerman,Kirman,,Kerman,Kermán,Carmânia,Kerman
415,Herat,Haraa,,,Helate,Herát,Herat,Herāt,Herat,Hérat,Herat,Cherat,Herát,Herat,Herāto,Herāta,Heratas,Herat,Herat,Gerat,Herat,Herat,,Herat,Herāt,Herate,Herat
416,Khorasan,Khurasan,,,Huluoshan,Khorasan,Khorasan,Khorasan,Khorasan,Khorasan,Khorasan,Khorasan,Khorasan,Khorasan,Horāsān,Khorasan,Khorasan,Khorasan,Khorasan,Horasan,Khorasan,Khorasan,,Khorasan,Khorasan,Khorasan,Khorasan
417,Hamadan,Hamdan,,,Hamadan,Hamadán,Hamadan,Hamadan,Hamedan,Hamadan,Hamadan,Hamadan,Hamadán,Hamadan,Hamadān,Hamadan,Hamadanas,Hamadan,Hamadan,Hamadan,Hamadan,Hemedan,,Hamadan,Hamadán,Hamadã,Hamadan
418,Semnan,Semnan,,,Semnan,Semnan,Semnan,Semnan,Semnan,Semnan,Semnan,Semnan,Semnan,Semnan,Se man,Semnan,Semnan,Semnan,Semnan,Semnan,Semnan,Semnan,,Semnan,Semnan,Semnan,Semnan
419,Tibriz,Tibriz,,,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,Tibriz,,Tibriz,Tibriz,Tibriz,Tibriz
420,Gilan,Ghilan,,,Jilansheng,Gílán,Gilan,Gilāni,Gilān,Guilan,Gilan,Gkilan,Gilán tartomány,di Gilan,Gīrān shū,Gilāna,Gilano,Gilan,Gilan,Giljan,Gilan,Gilan Eyaleti,,Gilan,Provincia de Guilán,Gilão,Gilan
421,Kurdistani,Kurdistan,,,Kuerdesitan,Kurdistán,Kurdistan,Kurdistan,Kurdistan,Kurdistan,Kurdistan,Koyrdistan,Kurdisztán,Kurdistan,Kurudisutan,Kurdistāna,Kurdistanas,Kurdystan,Kurdistan,Kurdistan,Kurdistan,Kürdistan,,Kurdistan,Kurdistán,Curdistão,Koerdistan
422,Sri Lanka,Sirilanka,,,Sililanqia,Srí Lanka,Ceylon,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Srí Lanka,Sri Lanka,Suriranka,Šrilanka,Šri Lanka,Sri Lanka,Sri Lanka,Shri-Lanka,Sri Lanka,Sri Lanka,,Šri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
423,Madurai,Maduray,,,Madulai,Madurai,Madurai,Madurai,Madurai,Madurai,Madurai,Mantoyrai,Maduráj,Madurai,Madourai,Maduraja,Madurajus,Maduraj,Madurai,Maduraj,Madurai,Madurai,,Madurai,Madurai,Madurai,Madurai
424,Madras,Tshinay,,,Jinnai,Čennaí,Madras,Chennai,Chennai,Madras,Chennai,Tsennai,Csennai,Chennai,Chen'nai,Čennai,Čenajus,Ćennaj,Chennai,Chennai,Chennai,Chennai,,Chennai,Chennai,Chenai,Madras
425,Mysore,Maysur,,,Maisuo'er,Maisúr,Mysore,Mysore,Mysore,Mysore,Mysuru,Maisor,Maiszúr,Mysore,Maisūru,Maisūru,Maisūras,Mysuru,Mysore,Majsur,Mysore,Maisur,,Mysore,Mysore,Maiçor,Mysore
426,Orissa,Awdysha,,,Aolisabang,Urísa,Orissa,Odisha,Odisha,Odisha,Odisha,Orisa,Orisza,Orissa,Orissa-shū,Odiša,Orisa,Orisa,Orissa,Odisha,Odisha,Orissa,,Orissa,Odisha,Orissa,Odisha
427,Hajderabadi,Haydar eabaad,,,Haidelaba,Hajdarábád,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Chainterabant,Haidarábád,Hyderabad,Haiderabādo,Haidarābādu,Haidarabadas,Hajdarabad,Hyderaba,Hajdarabad,Hyderabad,Haydaraba,,Hyderabad,Hyderabad,Haiderabade,Haiderabad
428,Guxharat,Ghujarat,,,Gujilatebang,Gudžarát,Gujarat,Gujarat,Gujarat,Gujarat,Gujarat,Gkoytzarat,Gudzsarát,Gujarat,Gujarāto shū,Gudžarāta,Gudžaratas,Gudźarat,Gujarat,Gudzharat,Gujarat,Gucerat,,Gudžerat,Guyarat,Guzerate,Gujarat
429,Mumbai,Mumbay,,,Mengmai,Bombaj,Bombay,Mumbai,Mumbai,Bombay,Mumbai,Moybai,Mumbai,Mumbai,Munbai,Mumbaja,Mumbajus,Mumbaj,Mumbai,Mumbai,Bombay,Mumbai,,Mumbai,Bombay,Bombaim,Bombay
430,East Bengal,Albanghal alsharqia,,,East bengal,East Bengal,East Bengal,East Bengal,East Bengal,Bengale oriental,East Bengal,Anatoliki Vengali,East Bengal,East Bengal,East Bengal,East Bengal,East Bengal,Bengal Wschodni,East Bengal,Vostochnaja Bengalija,Östbengalen,East Bengal,,East Bengal,Bengala Oriental,East Bengal,Oost-Bengalen
431,Bengali Perëndimor,Albanghal algharbia,,,Ximengjialabang,Západní Bengálsko,West Bengal,Lääne-Bengali osariik,Länsi-Bengali,Bengale-Occidental,Westbengalen,Dutiki Vengali,Nyugat-Bengál,Bengala Occidentale,Nishi bengaru-shū,Rietumbengāle,Vakarų Bengalija,Bengal Zachodni,Bengalul de Vest,Zapadnaja Bengalija,Västbengalen,Batı Bengal,,Zapadni Bengal,Bengala Occidental,Bengala Ocidental,West-Bengalen
432,Assam,Asam,,,Asamubang,Ásám,Assam,Assam,Assam,Assam,Assam,Άsam,Asszám,Assam,Assamu-shū,Asama,Asamas,Asam,Assam,Assam,Assam,Assam,,Assam,Assam,Assão,Assam
433,Rajahsthan,Rajahsthan,,,Lajiasitan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan,,Rajahsthan,Rajahsthan,Rajahsthan,Rajahsthan
434,Arunaçal Pradesh,Arunajil bardish,,,Alunnacao,Arunáčalpradéš,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh,Aroynatsal Prantes,Arunácsal Prades,Arunachal Pradesh,Arunācharu puradēshu shū,Arunāčala Pradēša,Arunačal Pradešas,Arunachal Pradesh,Arunachal Pradesh,Arunachal-Pradesh,Arunachal Pradesh,Arunaçel Pradeş,,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradexe,Arunachal Pradesh
435,Bihar,Bihar,,,Biha'er,Bihár,Bihar,Bihar,Bihar,Bihar,Bihar,Bichar,Bihár,Bihar,Bihāru shū,Bihāra,Biharas,Bihar,Bihar,Bihar,Bihar,Bihar,,Bihar,Bihar,Biar,Bihar
436,Jabalpur,Jbilbur,,,Jiaba'erpuer,Džabalpur,Jabalpur,Jabalpur,Jabalpur,Jabalpur,Jabalpur,Jabalpur,Dzsabalpur,Jabalpur,Jabarupuru,Jabalpur,Džabalpuras,Jabalpur,Jabalpur,Dzhabalpur,Jabalpur,Jabalpur,,Jabalpur,Jabalpur,Jabalpur,Jabalpur
437,Indore,Iindur,,,Yinduo'er,Indaur,Indore,Indore,Indore,Indore,Indore,Intor,Indaur,Indore,Indōru,Indaura,Indauras,Indore,Indore,Indaur,Indore,Indore,,Indore,Indore,Indore,Indore
438,Laknau,Laknaw,,,Lekenao,Lakhnaú,Lucknow,Lucknow,Lucknow,Lucknow,Lucknow,Laknaoy,Lakhnau,Lucknow,Rakunau,Laknava,Laknau,Lucknow,Lucknow,Lakhnau,Lucknow,Lucknow,,Lucknow,Lucknow,Lucnau,Lucknow
439,Delhi,Dilhi,,,Delisheng,Dillí,Delhi,Delhi,Delhi,Delhi,Delhi,Delchi,Delhi,Delhi,Derī,Deli,Delis,Delhi,Delhi,Deli,Delhi,Delhi,,Delhi,Delhi,Deli,Delhi
440,Punjab,Binijab,,,Pangzhepudiqu,Paňdžáb,Punjab,Pandžab,Punjab,Pendjab,Punjab,Pantzab,Pandzsáb régió,Punjab,Panjābu,Pendžāba,Pandžabas,Pendżab,Punjab,Pendzhab,Punjab,Pencap,,Pendžab,Punyab,Panjabe,Punjab
441,Kashmir,Kashmir,,,Keshimier,Kašmír,Kashmir,Kashmir,Kashmir,Cachemire,Kaschmir,Kasmir,Kasmír,Kashmir,Kashimīru,Kašmira,Kašmyras,Dżammu i Kaszmir,Caşmir,Kashmir,Kashmir,Keşmir,,Kašmir,Cachemira,Caxemira,Jammu en Kasjmir
442,Peshawar,Bishawar,,,Baishawa,Péšávar,Peshawar,Peshawar,Peshawar,Peshawar,Peschawar,Pesavar,Pesavar,Peshawar,Peshāwaru,Pešāvara,Pešavaras,Peszawar,Peshawar,Peshavar,Peshawar,Peşaver,,Pešavar,Peshawar,Pexauar,Pesjawar
443,Sind,Alsinad,,,Xindesheng,Sindh,Sind,Sindhi,Sindh,Sind,Sindh,Sind,Szindh,Sindh,Shindo shū,Sinda,Sindhas,Sindh,Sindh,Sind,Sindh,Sind,,Sind,Sind,Sinde,Sind
444,Baluchistan,Balushistan,,,Biluzhisitan,Balúčistán,Baluchistan,Belutšistan,Belutšistan,Baloutchistan,Belutschistan,Valoychistan,Baluchistan,Belucistan,Barūchisutān,Beludžistāna,Beludžistanas,Beludżystan,Belucistan,Beludzhistan,Baluchistan,Belucistan,,Beludžistan,Región del Baluchistán,Baluchistão,Beloetsjistan
445,Quetta,Biskawiti,,,Kuida,Kvéta,Quetta,Quetta,Quetta,Quetta,Quetta,Quetta,Kvetta,Quetta,Kuetta,Quetta,Kveta,Kweta,Quetta,Kvetta,Quetta,Ketta,,Quetta,Quetta,Quetta,Quetta
446,Kajro,Alqahira,,,Kailuo,Káhira,Cairo,Kairo,Kairo,Le Caire,Kairo,Kairo,Kairó,Il Cairo,Kairo,Kaira,Kairas,Kair,Cairo,Kair,Kairo,Kahire,,Kairo,El Cairo,Cairo,Caïro
447,Aleksandria,Aliiskandaria,,,Yalishandagang,Alexandrie,Alexandria,Aleksandria,Aleksandria,Alexandrie,Alexandria,Alexandreia,Alexandria,Alessandria d'Egitto,Arekusandoria,Aleksandrija,Aleksandrija,Aleksandria,Alexandri,Aleksandrija,Alexandria,İskenderiye,,Aleksandrija,Alejandría,Alexandria,Alexandrië
448,Tripoli,Tarabulus,,,Deliboli,Tripolis,Tripoli,Tripoli,Tripoli,Tripoli,Tripolis,Tripoli,Tripoli,Tripoli,Toripori,Tripole,Tripolis,Trypolis,Tripoli,Tripoli,Tripoli,Trablus,,Tripoli,Trípoli,Trípoli,Tripoli
449,El Agheila,Aleaqila,,,Ahela,El Agheila,El Agheila,El Agheila,El Agheila,El Agheila,El Agheila,El Agheila,El Agheila,El Agheila,Agheila,El Agheila,El Agheila,Al-Ukajla,El Agheila,El'-Agejla,El Agheila,El Agheila,,El Agheila,El Agheila,El Agheila,El Agheila
450,Bengazi,Banghazi,,,Banjiaxi,Benghází,Benghasi,Benghazi,Bengasi,Benghazi,Bengasi,Vengazi,Bengázi,Bengasi,Bengaji,Bengāzi,Bengazis,Bengazi,Benghazi,Bengazi,Benghazi,Bingazi,,Bengazi,Bengasi,Bengasi,Benghazi
451,Derna,Derna,,,De'erna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,Derna,,Derna,Derna,Derna,Derna
452,Matrouh,Matrouh,,,Matelu,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,Matrouh,,Matrouh,Matrouh,Matrouh,Matrouh
453,Sinai,Sinai,,,Xinai bandao,Sinaj,Sinai,Sinai,Sinai,Sinaï,Sinai,Sina,Sinai,Sinai,Shinai,Sinai,Sinai,Synaj,Sinai,Sinaj,Sinai,Sinai,,Sinai,Sinai,Sinai,Sinaï
454,Palestine,Filastin,,,Balesitan,Palestine,Palestine,Palestine,Palestine,Palestine,Palestine,Palaistini,Palestine,Palestine,Paresuchina,Palestine,Palestine,Palestine,Palestina,Palestina,Palestine,Filistin,,Palestine,Palestine,Palestine,Palestina
455,Jordania,Alurdunu,,,Yuedan,Jordánsko,Jordan,Jordaania,Jordania,Jordanie,Jordanien,Iordania,Jordánia,Giordania,Yorudan,Jordānija,Jordanija,Jordania,Iordania,Iordanija,Jordanien,Ürdün,,Jordan,Jordania,Jordânia,Jordanië
456,Aswan,Aswan,,,Asiwang,Asuán,Aswan,Assuan,Assuan,Assouan,Assuan,Assoyan,Asszuán,Assuan,Asuwan,Asuāna,Asuanas,Asuan,Assuan,Asuan,Assuan,Asvan,,Asuan,Asuán,Assuão,Aswan
457,Eastern Desert,Alsahra alsharqia,,,Dongbushamo,Východní poušť,Eastern Desert,Araabia kõrb,Itäinen aavikko,Désert Arabique,Arabische Wüste,Eastern Desert,Keleti-sivatag,Deserto orientale,Tōbu sabaku,Eastern Desert,Rytų dykuma,Pustynia Arabska,Eastern Desert,Aravijskaja pustynja,Arabian Desert,Doğu Çölü,,Eastern Desert,Desierto arábigo,Deserto Oriental Africano,Oostelijke Woestijn
458,Tunizia,Tunis,,,Tunixiya,Tunisko,Tunisia,Tuneesia,Tunisia,Tunisie,Tunesien,Tunisia,Tunézia,Tunisia,Chunijia,Tunisija,Tunisas,Tunezja,Tunisia,Tunis,Tunisien,Tunus,,Tunis,Túnez,Tunísia,Tunesië
459,Algjer,Aljazayir,,,A'erjier,Alžír,Algiers,Alžiir,Alger,Alger,Algier,Algeri,Algír,Algeri,Aruje,Alžira,Alžyras,Algier,Alger,Alzhir,Alge,Cezayir,,Alžir,Argel,Argel,Algiers
460,Constantine,Constantine,,,Junshitanding,Constantine,Constantine,Constantine,Constantine,Constantine,Constantine,Constantine,Constantine,Constantine,Konsutantin,Constantine,Constantine,Constantine,Constantine,Konstantin,Constantine,Constantine,,Constantine,Constantine,Constantine,Constantine
461,Casablanca,Aldaar albayda,,,Qiasabulanqia,Casablanca,Casablanca,Casablanca,Casablanca,Casablanca,Casablanca,Kazablanka,Casablanca,Casablanca,Kasaburanka,Kasablanka,Kasablanka,Casablanca,Casablanca,Kasablanka,Casablanca,Kazablanka,,Casablanca,Casablanca,Casablanca,Casablanca
462,Marakeshi,Marakish,,,Malakashi,Marrákeš,Marrakech,Marrakech,Marrakech,Marrakech,Marrakesch,Marakes,Marrákes,Marrakech,Marakeshu,Marrākeša,Marakešas,Marrakesz,Marrakech,Marrakesh,Marrakech,Marakeş,,Marrakech,Marrakech,Marraquexe,Marrakesh
463,Alaska,Alaska,,,Alasijiazhou,Aljaška,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaszka,Alaska,Arasuka-shū,Aļaska,Aliaska,Alaska,Alaska,Aljaska,Alaska,Alaska,,Aljaska,Alaska,Alasca,Alaska
464,Skocia e Re,Nufa skusha,,,Nuosheng,Nové Skotsko,Nova Scotia,Nova Scotia,Nova Scotia,Nouvelle-Écosse,Nova Scotia,Nea Skotia,Új-Skócia,Nuova Scozia,Nobasukoshia-shū,Jaunskotija,Naujoji Škotija,Nowa Szkocja,Noua Scoție,Novaja Shotlandija,Nova Scotia,Yeni İskoçya,,Nova Škotska,Nueva Escocia,Nova Escócia,Nieuw Schotland
465,New Brunswick,Niu brunzwik,,,Xinsheng,Nový Brunšvik,New Brunswick,New Brunswick,New Brunswick,Nouveau-Brunswick,New Brunswick,Nioy Bransgoyik,Új-Brunswick,Nuovo Brunswick,Nyūburanzuuikku shū,Ņūbransvika,Naujasis Bransvikas,Nowy Brunszwik,Noul Brunswick,N'ju-Bransuik,New Brunswick,Yeni Brunswick,,Novi Brunswick,Nuevo Brunswick,Novo Brunswick,Nieuw Brunswijk
466,Kebeku,Kibk,,,Kuisheng,Québec,Quebec,Québec,Quebec,Québec,Québec,Kebek,Québec,Québec,Kebekku-shū,Kvebeka,Kvebekas,Quebec,Québec,Kvebek,Québec,Québec,,Québec,Quebec,Quebec,Quebec
467,Manitoba,Manituba,,,Mansheng,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba-shū,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,,Manitoba,Manitoba,Manitoba,Manitoba
468,Saint Lawrence,Lurans ruma,,,Nankuisheng,Svatý Vavřinec,Saint Lawrence,Laurentius,Pyhä Laurentius,Laurent de Rome,Laurentius von Rom,Άgios Laurentios,Szent Lőrinc,San Lorenzo,Rōma no raurentiusu,Svētais Labrencis,Šv. Laurynas,Wawrzyniec z Rzymu,Laurențiu de Roma,Lavrentij Rimskij,Sankt Lars,Saint Lawrence,,Sveti Lovro,Lorenzo de Roma,Lourenço de Huesca,Laurentius van Rome
469,Saskatchewan,Saskatshuan,,,Sasheng,Saskatchewan,Saskatchewan,Saskatchewani,Saskatchewan,Saskatchewan,Saskatchewan,Saskatsoyan,Saskatchewan,Saskatchewan,Sasukachuwan-shū,Saskačevana,Saskačevanas,Saskatchewan,Saskatchewan,Saskachevan,Saskatchewan,Saskatchewan,,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan
470,Alberta,Albirta,,,Aisheng,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Arubāta shū,Alberta,Alberta,Alberta,Alberta,Al'berta,Alberta,Alberta,,Alberta,Alberta,Alberta,Alberta
471,Northwestern Canada,Northwestern Canada,,,Jianada xibeibu,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,Northwestern Canada,,Northwestern Canada,Northwestern Canada,Northwestern Canada,Noordwestelijk Canada
472,Northern Canada,Northern Canada,,,Jianada beibu,Northern Canada,Northern Canada,Northern Canada,Northern Canada,Nord canadien,Northern Canada,Northern Canada,Northern Canada,Canada settentrionale,Northern Canada,Northern Canada,Northern Canada,Północ Kanady,Northern Canada,Severnaja Kanada,Norra Kanada,Kuzey Kanada,,Northern Canada,Northern Canada,Norte do Canadá,Noordelijk Canada
473,Kolumbia Britanike,Kulumbia albiritania,,,Beishisheng,Britská Kolumbie,British Columbia,Briti Columbia,Brittiläinen Kolumbia,Colombie-Britannique,British Columbia,Vretaniki Kolomvia,Brit Columbia,Columbia Britannica,Buritisshukoronbia-shū,Britu Kolumbija,Britų Kolumbija,Kolumbia Brytyjska,Columbia Britanică,Britanskaja Kolumbija,British Columbia,Britanya Kolumbiyası,,Britanska Kolumbija,Columbia Británica,Colúmbia Britânica,Brits-Columbia
474,Yucatan,Wilayat yukatan,,,Youqiatanzhou,Yucatán,Yucatan,Yucatáni osariik,Yucatán,Yucatán,Yucatán,Gioykatan,Yucatán,Yucatán,Yukatan-shū,Jukatana,Jukatanas,Jukatan,Yucatán,Jukatan,Yucatán,Yucatán,,Yucatán,Yucatán,Iucatã,Yucatán
475,Chiapas,Tishyabas,,,Qiapasizhou,Chiapas,Chiapas,Chiapase osariik,Chiapas,Chiapas,Chiapas,Tsiapas,Chiapas,Chiapas,Chiapasu-shū,Čjapasa,Čiapasas,Chiapas,Chiapas,Ch'japas,Chiapas,Chiapas,,Chiapas,Chiapas,Chiapas,Chiapas
476,Oaxaca,Wilayat wahaka,,,Wahaqiazhou,Oaxaca,Oaxaca,Oaxaca osariik,Oaxaca,Oaxaca,Oaxaca,Oachaka,Oaxaca,Oaxaca,Oahaka-shū,Oahaka,Oachaka,Oaxaca,Oaxaca,Oahaka,Oaxaca,Oaxaca,,Oaxaca,Oaxaca,Oaxaca,Oaxaca
477,Veracruz,Wilayat firakruz,,,Weilakelusizhou,Veracruz,Veracruz,Veracruzi osariik,Veracruz,Veracruz,Veracruz,Verakroys,Veracruz,Veracruz,Bera kurusushū,Verakrusa de Ignasio de la Ljave,Verakrusas,Veracruz,Veracruz,Verakrus,Veracruz,Veracruz,,Veracruz,Veracruz de Ignacio de la Llave,Veracruz,Veracruz de Ignacio de la Llave
478,Jalisco,Wilayat khalisku,,,Halisikezhou,Jalisco,Jalisco,Jalisco osariik,Jalisco,Jalisco,Jalisco,Chalisko,Jalisco,Jalisco,Harisuko-shū,Halisko,Chaliskas,Jalisco,Jalisco,Halisko,Jalisco,Jalisco,,Jalisco,Jalisco,Jalisco,Jalisco
479,Tamaulipas,Wilayat tamawlybas,,,Tamaolipasizhou,Tamaulipas,Tamaulipas,Tamaulipase osariik,Tamaulipas,Tamaulipas,Tamaulipas,Tamaoylipas,Tamaulipas,Tamaulipas,Tamauripasu shū,Tamaulipasa,Tamaulipasas,Tamaulipas,Tamaulipas,Tamaulipas,Tamaulipas,Tamaulipas,,Tamaulipas,Tamaulipas,Tamaulipas,Tamaulipas
480,Coahuila,Kwawyla,,,Keaweilazhou,Coahuila,Coahuila,Coahuila osariik,Coahuila,Coahuila,Coahuila,Koaoyila,Coahuila,Coahuila,Koauira shū,Koavila de Saragosa,Koahuila,Coahuila,Coahuila de Zaragoza,Koauila,Coahuila,Coahuila,,Coahuila,Coahuila de Zaragoza,Coahuila de Zaragoza,Coahuila de Zaragoza
481,Durango,Wilayat duranghu,,,Dulangezhou,Durango,Durango,Durango osariik,Durango,Durango,Durango,Ntoyrangko,Durango,Durango,Dourango shū,Durango,Durangas,Durango,Durango,Durango,Durango,Durango,,Durango,Durango,Durango,Durango
482,Chihuahua,Shiuawa,,,Qiwawa,Chihuahua,Chihuahua,Chihuahua,Chihuahua,Chihuahua,Chihuahua,Chihuahua,Chihuahua,Chihuahua,Chiwawa,Chihuahua,Čihuahua,Chihuahua,Chihuahua,Chiuaua,Chihuahua,Chihuahua,,Chihuahua,Chihuahua,Chihuahua,Chihuahua
483,Sonora,Wilayat sunura,,,Suonuolazhou,Sonora,Sonora,Sonora osariik,Sonora,Sonora,Sonora,Sonora,Sonora,Sonora,Sonorashū,Sonora,Sonora,Sonora,Sonora,Sonora,Sonora,Sonora,,Sonora,Sonora,Sonora,Sonora
484,Baja California,Wilayat baha kalifurnia,,,Xiajiazhou,Baja California,Baja California,Baja California osariik,Baja California,Basse-Californie,Baja California,Bacha Kalifornia,Alsó-Kalifornia,Bassa California,Baha kariforunia-shū,Lejaskalifornija,Žemutinė Kalifornija,Kalifornia Dolna,Baja California,Nizhnjaja Kalifornija,Baja California,Baja California,,Baja California,Baja California,Baixa Califórnia,Neder-Californië
485,Guerrero,Wilayat ghayriru,,,Geleiluozhou,Guerrero,Guerrero,Guerrero osariik,Guerrero,Guerrero,Guerrero,Gkerrero,Guerrero,Guerrero,Gerēro shū,Gerrero,Gereras,Guerrero,Guerrero,Gerrero,Guerrero,Guerrero,,Guerrero,Estado de Guerrero,Guerrero,Guerrero
486,Meta,Mayta,,,Meitasheng,Meta,Meta,Meta-,Meta,Méta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta-,Meta-,Meta,,Meta,Meta,Meta,Meta
487,Santa Cruz,Santa kruz di la sayra,,,Shengkelusi,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,Santa Kroyz,Santa Cruz,Santa Cruz,Santakurusu,Santakrusa,Santa Krusas,Santa Cruz,Santa Cruz,Santa-Krus,Santa Cruz,Santa Cruz,,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz
488,Bolivar,Bulifar,,,Boliwa'er,Bolívar,Bolivar,Bolívar,Bolívar,Bolívar,Bolívar,Bolivar,Bolívar,Bolivar,Boribaru,Bolivar,Bolivaras,Bolívar,Bolivar,Bolivar,Bolivar,Bolivar,,Bolivar,Bolívar,Bolívar,Bolívar
489,Zulia,Zwlia,,,Suliyazhou,Zulia,Zulia,Zulia osariik,Zulia,État de Zulia,Zulia,Zulia,Zulia,Zulia,Suria-shū,Zulia,Sulija,Zulia,Zulia,Sulija,Zulia,Zulia,,Zulia,Estado Zulia,Zulia,Zulia
490,Pastaza,Pastaza,,,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastaza,Pastasa,Pastaza,Pastaza,,Pastaza,Pastaza,Pastaza,Pastaza
491,Loreto,Loreto,,,Loreto,Loreto,Loreto,Loreto,Loreto,Loreto,Loreto,Loreto,Loreto,Loreto,Rōto,Loreto,Loreto,Loreto,Loreto,Loreto,Loreto,Loreto,,Loreto,Loreto,Loreto,Loreto
